FID,longitude,latitude
0,101.471959970000000,25.544374489999999
1,101.571959969999990,23.994374489999998
2,101.621959970000010,23.794374489999999
3,101.721959970000000,25.444374490000001
4,101.521959970000000,23.994374489999998
5,101.571959969999990,25.494374489999998
6,102.021959970000000,24.344374490000000
7,102.221959970000000,24.144374490000001
8,102.371959970000010,24.694374490000001
9,102.421959970000000,23.144374490000001
10,100.971959970000000,25.844374490000000
11,102.721959970000000,23.794374489999999
12,102.721959970000000,24.194374490000001
13,103.021959970000000,24.144374490000001
14,103.171959970000000,22.844374490000000
15,103.321959969999990,25.744374489999998
16,103.371959970000010,26.144374490000001
17,102.121959970000010,25.294374489999999
18,103.621959970000010,24.444374490000001
19,103.771959970000000,24.444374490000001
20,104.371959970000010,26.594374490000000
21,104.421959970000000,26.144374490000001
22,104.621959970000010,25.194374490000001
23,102.371959970000010,23.444374490000001
24,102.471959970000000,25.094374490000000
25,102.721959970000000,25.844374490000000
26,103.271959970000000,24.094374490000000
27,103.271959970000000,24.794374489999999
28,103.371959970000010,23.244374489999998
29,101.021959970000000,26.194374490000001
30,101.321959969999990,24.344374490000000
31,101.371959970000010,24.344374490000000
32,102.221959970000000,23.994374489999998
33,102.221959970000000,24.344374490000000
34,102.371959970000010,23.944374490000001
35,102.421959970000000,23.294374489999999
36,102.521959970000000,23.094374490000000
37,102.521959970000000,24.944374490000001
38,102.521959970000000,26.194374490000001
39,102.521959970000000,26.244374489999998
40,102.621959970000010,22.944374490000001
41,102.771959970000000,22.944374490000001
42,102.871959970000010,23.894374490000001
43,103.071959969999990,22.844374490000000
44,103.071959969999990,22.994374489999998
45,101.921959970000000,24.044374489999999
46,103.121959970000010,24.144374490000001
47,103.121959970000010,25.594374490000000
48,103.171959970000000,25.844374490000000
49,103.521959970000000,23.094374490000000
50,103.521959970000000,25.444374490000001
51,103.571959969999990,26.544374489999999
52,103.921959970000000,24.694374490000001
53,104.171959970000000,25.094374490000000
54,104.221959970000000,26.244374489999998
55,104.521959970000000,24.744374489999998
56,103.771959970000000,26.244374489999998
57,103.421959970000000,24.844374490000000
58,103.421959970000000,24.944374490000001
59,103.571959969999990,25.294374489999999
60,103.571959969999990,26.744374489999998
61,103.671959970000000,24.494374489999998
62,103.671959970000000,26.494374489999998
63,103.821959969999990,22.894374490000001
64,103.821959969999990,25.194374490000001
65,103.921959970000000,25.944374490000001
66,104.071959969999990,26.094374490000000
67,104.121959970000010,25.944374490000001
68,101.521959970000000,24.894374490000001
69,101.071959969999990,26.294374489999999
70,101.121959970000010,24.744374489999998
71,101.221959970000000,24.694374490000001
72,101.221959970000000,25.944374490000001
73,101.771959970000000,24.144374490000001
74,101.821959969999990,23.494374489999998
75,101.871959970000010,25.344374490000000
76,102.221959970000000,25.544374489999999
77,102.271959970000000,24.494374489999998
78,102.371959970000010,22.844374490000000
79,102.371959970000010,23.244374489999998
80,102.371959970000010,23.494374489999998
81,102.471959970000000,24.794374489999999
82,102.521959970000000,24.594374490000000
83,102.721959970000000,25.244374489999998
84,102.821959969999990,25.944374490000001
85,102.871959970000010,23.044374489999999
86,102.921959970000000,25.344374490000000
87,103.021959970000000,25.594374490000000
88,103.371959970000010,24.994374489999998
89,103.421959970000000,23.044374489999999
90,103.421959970000000,24.144374490000001
91,103.421959970000000,25.344374490000000
92,103.421959970000000,25.944374490000001
93,103.471959970000000,25.794374489999999
94,103.571959969999990,22.894374490000001
95,103.571959969999990,26.694374490000001
96,103.121959970000010,25.844374490000000
97,103.921959970000000,26.294374489999999
98,104.071959969999990,26.444374490000001
99,104.321959969999990,25.994374489999998
