lu_assmt,year_lcc,landuse1,landuse2,nyt,rat,nightt,morningt,endt,dayt,dist2s1,dist2s2,dist2s3,dist2s4,dist2s5,dist2s6,dist2rec,dist2tr,dist2ma,dist2res,dist2gov,dist2of,dist2ot,dist2co,num2s1,num2s2,num2s3,num2s4,num2s5,num2s6,num2rec,num2tr,num2ma,num2res,num2gov,num2of,num2ot,num2co,area
co,1.70330596,Education School,High school,0,0,37,65,79,173,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,3,0,48,6,190,1,12,5,0,33,21,0,175,26.20483857
co,11.14824963,Shopping,Furniture_home building,1,0,49,76,82,224,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,3,10,334,1,13,0,0,1,12,0,320,20.09110738
co,1,Living Services,Newsstand,0,0,1,3,3,12,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,8,6,146,2,4,0,0,0,11,0,143,2.015326056
co,0.999863982,Food,Other dishes,0,0,1,1,3,5,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,5,0,176,2,5,0,0,0,2,0,172,2.050147016
co,1.357071996,Healthcare,Clinic,0,1,10,5,12,20,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,4,1,37,2,7,1,0,0,3,0,30,6.372128381
co,1.000369191,Recreation,Bar,0,0,65,98,330,489,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,4,0,223,5,17,0,0,1,3,0,202,3.49874407
co,5,Healthcare,Clinic,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,13,0,0,0,1,0,1,0,12,0.356999689
co,1,Tourist Attractions,Park,0,0,0,2,0,2,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,39,0,1,0,1,0,0,0,39,0.971790399
co,1.015084267,Car,Automotive Maintenance,0,0,1,3,0,2,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,2,0,9,0,2,0,1,0,1,0,8,3.627268636
co,2.05052352,Food,Restaurant,0,0,2,4,3,20,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,3,0,7,0,25,0,3,2,1,0,5,0,24,4.392321707
co,2.359194994,Living Services,Laundry,0,0,0,0,3,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,13,0,4,0,1,0,0,0,10,3.198740098
co,1.006856561,Shopping,Supermarket,0,0,6,2,4,18,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,6,0,13,0,5,0,1,5,1,0,8,0.814633091
co,1,Food,Restaurant,1,0,7,32,9,23,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,2,0,1,0,14,0,6,2,1,0,0,0,8,1.691479634
co,10.78105831,Food,Restaurant,1,0,7,17,6,38,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,18,1,1,0,1,0,1,0,16,4.460839085
co,1.000369191,Shopping,Sports and Outdoor,0,0,6,11,30,60,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,12,8,125,4,5,0,1,5,13,0,118,2.049032721
co,1,Living Services,Photographic prints,0,0,4,4,0,10,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,2,0,20,31,139,0,7,3,2,6,53,0,121,2.441003767
co,1,Living Services,Lottery ticket,2,0,5,4,16,24,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,2,0,20,18,304,2,8,0,2,6,31,0,295,4.489162193
co,1.003185034,Shopping,Digital Home,0,0,41,16,15,39,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,2,0,7,1,34,0,15,1,3,4,3,0,18,4.020027778
co,3.802023411,Residential real estate,Residences,2,1,7,13,13,19,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,3,0,3,2,50,1,4,0,3,2,5,0,43,4.010643352
co,1,Living Services,Ticket outlets,0,0,25,7,17,46,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,2,8,3,67,1,4,1,3,4,4,0,64,3.052237468
co,1.000233173,Infrastructure,Transport facilities,0,1,12,6,25,35,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,4,14,13,121,1,7,1,4,5,25,0,109,3.073857193
co,1.000738263,Residential real estate,Residences,0,0,19,11,16,32,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,3,0,26,75,217,1,7,5,4,11,77,0,216,3.572382343
co,0.999863982,Recreation,Foot massage bath,0,2,67,83,50,214,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,3,3,40,4,233,0,17,0,6,25,25,0,210,8.056452856
co,1,Residential real estate,Residences,0,1,29,29,99,166,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,3,3,43,70,657,3,33,9,9,9,107,0,606,7.033072743
gc,12.70885849,Residential real estate,Residences,0,0,1,3,4,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.969920792
gc,6.477686882,Residential real estate,Residences,0,0,1,2,0,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,6.78660603
gc,13.03797436,Residential real estate,Residences,0,0,0,1,3,4,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,3.860238077
gc,11.57419586,Infrastructure,Transport facilities,0,0,3,5,3,15,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,3,0,1,0,0,0,0,6.969512637
