"B0FFHVK5DV","102.657605903","24.9872708482"
"B036711JDL","102.6582617","25.0445617056"
"B036706YRP","102.676141411","25.0402482307"
"B03670W66H","102.702128503","25.0262161425"
"B0FFHUIFSC","102.708523884","25.009409845"
"B0FFI4GLTW","102.720201708","25.0195074874"
"B03670W1B6","102.727024111","25.0365022086"
"B0367082KC","102.721061658","25.1106860311"
"B0FFGA5VMV","102.680157872","25.1285790721"
"B0FFHCHY0N","102.667940053","25.1065891242"
"B03670V7HJ","102.820112711","24.8900129556"
"B00181BGK6","123.329850531","41.7832327461"
"B036708IAO","103.266269814","24.7486106265"
"B036704TFI","102.483924882","24.9272374182"
"B036708I2W","102.481327269","24.9160782836"
"B036705RQO","102.659644861","24.9906926282"
"B0FFHU5IJ1","102.661879247","24.9957398018"
"B036705O7V","102.633313463","24.9622730654"
"B03670VWH6","102.632237392","25.0363613623"
"B036705RR0","102.638637905","25.0419285499"
"B036705RR3","102.638637905","25.0419185511"
"B0FFG0ISUD","102.659646691","25.0319105902"
"B0FFGPIAOB","102.680408364","25.0203435094"
"B036704TFX","102.661416052","25.0428310075"
"B03670XQU6","102.678871817","25.0328489149"
"B036705RR4","102.689594446","25.0060644399"
"B036703Q1Z","102.68521128","25.0304833927"
"B036709EUJ","102.683460489","25.0327243507"
"B0FFICFSLJ","102.697421716","24.9942315352"
"B0FFI3S66M","102.68328576","25.0381870378"
"B03670VPLB","102.695143039","25.0226518261"
"B036701641","102.699118252","24.9839730789"
"B0FFI1MQZS","102.683861071","25.0479188639"
"B0FFGI0E6X","102.683980748","25.0489515271"
"B0FFI45UA3","102.707078258","24.9920950162"
"B0FFFTV2ZC","102.703452858","25.020858769"
"B036711I2M","102.702128503","25.0262161425"
"B0FFHD3JDB","102.692703016","25.0448653865"
"B03670W74V","102.691970487","25.0530517357"
"B0FFI3108B","102.717394963","24.9979491563"
"B0FFHI1F5W","102.731895325","24.9559067179"
"B0FFHEUKB8","103.148213903","24.9278592139"
"B036707ZGS","102.780498514","25.141114019"
"B036707VQW","102.755342668","25.0933511758"
"B036707V7O","102.755342668","25.0933521757"
"B03670YOOT","103.066356317","26.1807186776"
"B03670V3CT","102.504392956","25.2063962546"
"B03670Y98B","102.74985848","24.9612717025"
"B0FFGP7PS0","102.751448941","24.9566984047"
"B0FFHVKZAA","102.727515402","25.0041967032"
"B036704TFA","102.728807579","25.0084111976"
"B036708BY0","102.738693964","24.999444753"
"B0367055GP","102.718344757","25.0187975436"
"B0FFH62UGF","102.720072939","25.0186507239"
"B036711JRL","102.722075777","25.0192836385"
"B0367003EF","102.723731273","25.0196890288"
"B0367055GO","102.72161945","25.020350956"
"B03670W3BW","102.716742301","25.0243406657"
"B0FFFF687V","102.914865386","25.0792221375"
"B0FFH83GV0","102.927074438","25.0988230108"
"B03670YOCP","102.828679357","26.2421712481"
"B036913YBH","103.264840196","23.7079709805"
"B03670V7IZ","102.706597185","24.6836112372"
"B036708JO8","103.183198888","26.0871465604"
"B036705RQZ","103.177872799","26.0828828537"
"B03670Z1ZQ","102.825400434","24.9976213231"
"B036707YKV","102.784694694","25.0073913735"
"B036709EYE","102.758865187","25.0228169254"
"B0FFG8ZTGZ","102.768885637","25.0083843467"
"B0FFHHV3MH","102.7929353","24.9806429452"
"B0367031NZ","102.735383494","25.0565464763"
"B0FFGI1WUN","102.743810447","25.0130196264"
"B03670VZSL","102.744354116","25.0115277126"
"B036705V2M","102.744354116","25.0115277126"
"B0FFF2YJ1Q","102.739819492","25.0155603652"
"B0FFH8GOX0","102.771069181","24.9808744995"
"B0FFHU488U","102.738549577","25.0169666538"
"B0FFGI0OQB","102.727024111","25.0365002088"
"B036705G49","102.723699218","25.0570697457"
"B0FFHXZ090","102.731229355","25.0831911024"
"B0FFI1QCRJ","102.722462569","25.0402347942"
"B0367082KT","102.726708677","25.0996338648"
"B036704TG4","102.726446029","25.0999210537"
"B0FFI2KH6Q","102.720911003","25.0731157246"
"B0FFHUJ7GN","102.714412627","25.0841538355"
"B036705O21","102.718729912","25.0598554026"
"B0FFI2FMR7","102.711873994","25.0595525497"
"B036703I3F","102.718916251","25.0379166627"
"B0FFHH84T0","102.719725927","25.0380637877"
"B0FFGI0MPB","102.718629716","25.0381369459"
"B0FFHYBR3D","102.696486843","25.0621380772"
"B036706IOW","102.704390111","25.0479682066"
"B036701185","102.709067766","25.045419834"
"B0FFG4J3A1","102.719223809","25.03579958"
"B0FFG4F5S5","102.719223809","25.03579958"
"B0367086XD","102.71685676","25.0360511548"
"B0FFHVNIJ5","102.692962988","25.0594773156"
"B0FFHD6XZU","102.714195482","25.0342494986"
"B0FFIGH0PS","102.819209277","24.8247865246"
"B036709FB7","102.965758766","25.1784868166"
"B0FFGA5Q5H","103.974054541","22.5315726527"
"B0FFG08H7I","102.856127456","24.8508082269"
"B03670XQDA","102.926824063","25.7701866469"
"B036711OEA","102.926824063","25.7701866469"
"B03670V7TV","102.606310649","24.7875058234"
"B0FFHIF6WD","102.778897239","24.9453754802"
"B036708657","102.797736093","24.8981417136"
"B0367082YX","102.797370664","24.8982141305"
"B03670VTKG","102.840669891","24.9573599464"
"B0FFFENM35","102.822585445","24.9219986379"
"B0FFHCRTCC","102.820319036","24.8893104272"
"B036704TFJ","102.799465337","24.891874233"
"B036709HZC","102.800776982","24.8904705325"
"B0FFFENH5K","102.800776982","24.8904715324"
"B0FFGIV1KC","102.75388008","24.9577056386"
